original_title,generated_title
"A Universal Coding Scheme for Remote Generation of Continuous Random
  Variables",['Universal coding for continuous distributions with applications to quantum entanglement']
"Multiplicity results and sign changing solutions of non-local equations
  with concave-convex nonlinearities",['Infinitely many sign changing solutions for concave-convex nonlinear integro-differential equations']
"Dynamic Modularity Approach to Adaptive Inner/Outer Loop Control of
  Robotic Systems",['Adaptive Outer Loop Controllers for Robotic Systems']
Bank distress in the news: Describing events through deep learning,['Text-based Deep Learning for Financial and Systemic Risk Analysis']
Weak multiplier bimonoids,['Regular Weak Multiplier Bimonoids in Braided Monoidal Categories']
Efficient evaluation of scaled proximal operators,['Efficient computation of proximal maps for quadratic-support functions']
"Particle acceleration in explosive relativistic reconnection events and
  Crab Nebula gamma-ray flares",['Particle acceleration in explosive reconnection events and Crab Nebula gamma-ray flares']
Evaluating Generating Functions for Periodic Multiple Polylogarithms,['Chen-Fliess series with rational generating series for periodic multiple polylogarithms']
"Deflation as a Method of Variance Reduction for Estimating the Trace of
  a Matrix Inverse",['Deflation of the Near Null Singular Value Space and Applications to Lattice QCD']
A separable Fr\'echet space of almost universal disposition,"[""The Gurariui space for graded Fr'echet spaces""]"
A new multicomponent Poincar\'e-Beckner inequality,"[""A Poincar'e-Beckner type inequality for Radon measures""]"
"The number of linear transformations defined on a subspace with given
  invariant factors",['An explicit counting formula for linear transformations with given invariant factors']
A proof of security for a key-policy RS-ABE scheme,['A Key-Policy Revocable-Storage Attribute-Based Encryption Scheme']
"Admissible state and physical constraints preserving schemes for
  relativistic magnetohydrodynamic equations",['Admissible State and Physical-Constraints-Preserving Schemes for Relativistic Magnetohydrodynamics']
Operator algebras and vertex operator algebras,['Conformal Nets from Vertex Operator Algebras']
"Pilot Power Allocation Through User Grouping in Multi-Cell Massive MIMO
  Systems",['Relative Channel Estimation Error and Uplink Rate for Multi-cell Massive MIMO']
Robust principal graphs for data approximation,['Robust principal graphs with trimmed energy functional']
"Solving generic nonarchimedean semidefinite programs using stochastic
  game algorithms",['Tropical Spectrahedra and Stochastic Games for Nonarchimedean Semidefinite Programming']
On the biregular geometry of the Fulton-MacPherson compactification,['Automorphism groups of Fulton-MacPherson compactifications']
A simple approach to temporal cloaking,['Temporal cloaking using change of time variables']
Pre-Expansivity in Cellular Automata,['Pre-Expansivity for Cellular Automata']
An elementary introduction to quantum graphs,"['Some basic tools in the spectral theory of Schr""odinger operator on quantum graphs']"
Renormalized Volume,['Conformal hypersurface invariants and the volume anomaly']
On Perturbations of Stein Operator,['Perturbation of negative binomial operator and its approximation']
"Dynamics, Control, and Estimation for Aerial Robots Tethered by Cables
  or Bars","['Differential Flatness, Controllability, and Observability of Nonlinear Dynamical Robotic Systems']"
"On the determinacy of the moment problem for symmetric algebras of a
  locally convex space",['A note on the determinacy condition for the moment problem for symmetric algebras']
Using Simon's Algorithm to Attack Symmetric-Key Cryptographic Primitives,['Quantum-Oracle Insecurity of Classical Cryptography']
An instability theorem for nonlinear fractional differential systems,['Instability of an equilibrium of nonlinear Caputo fractional differential systems']
"Invariance Principles for Dependent Processes Indexed by Besov Classes
  with an Application to a Hausman Test for Linearity",['Functional central limit theorems for absolutely regular mixing processes']
The Lindeberg theorem for Gibbs-Markov dynamics,['Distributional limits for Gibbs-Markov dynamical arrays']
Smooth analytic functions and model subspaces,['Smooth analytic functions and model subspaces']
A Polyhedral Study of the Static Probabilistic Lot-Sizing Problem,['Polyhedral inequalities for the static probabilistic lot-sizing problem']
Identification via the Broadcast Channel,['Identification Capacity Regions of Broadcast Channels']
Continuous 3D Label Stereo Matching using Local Expansion Moves,['Efficient 3D Stereo Matching Using Local Expansion Moves']
"Estimation of quadrature errors in layer potential evaluation using
  quadrature by expansion",['Accurate Error Estimates for Quadrature by Expansion of Layer Potentials']
"Reissner-Nordstr\""{o}m black holes statistical ensembles and first order
  thermodynamic phase transition","['Thermodynamic phase transition behavior of Reissner-Nordst""om black hole']"
Pointwise differentiability of higher order for sets,['Pointwise differentiability of higher order for arbitrary sets']
"Optimal order quadrature error bounds for infinite-dimensional higher
  order digital sequences",['Optimal order Quasi-Monte Carlo rules for Sobolev spaces of arbitrary fixed smoothness']
Dynamical canonical systems and their explicit solutions,"['B""acklund-Darboux transformation and explicit solutions of dynamical canonical systems']"
"Fracture in multi-phase materials: why some microstructures are more
  critical than others",['Initiation-driven damage propagation in ductile two-phase materials']
Suita conjecture for a punctured torus,['Suita type results for the Evans-Selberg potential of a once-punctured torus']
"Strong Well-Posedness for a Class of Dynamic Outflow Boundary Conditions
  for Incompressible Newtonian Flows",['Dynamic outflow boundary conditions for the incompressible Navier-Stokes equations']
"Quantum Size Effects in the Terahertz Nonlinear Response of Metallic
  Armchair Graphene Nanoribbons",['Quantum Size Effects on the Terahertz Nonlinear Response of Metallic Armchair Graphene Nanoribbons']
"Robust Uncalibrated Stereo Rectification with Constrained Geometric
  Distortions (USR-CGD)",['USR-CGD: Uncalibrated Stereo Image-Pair Rectification with Reduced Geometric Distortions']
A ParaBoost Stereoscopic Image Quality Assessment (PBSIQA) System,['ParaBoost: Parallel-Boosting Stereoscopic Image Quality Assessment']
"Spacecraft Attitude and Reaction Wheel Desaturation Combined Control
  Method",['A Periodic Time-Varying Regulator Design Method for Spacecraft Attitude and Reaction Wheel Momentum Management']
"Spectral sequences for Hochschild cohomology and graded centers of
  derived categories",['The characteristic homomorphism in Hochschild cohomology']
"A Random Matrix Approach for Quantifying Model-Form Uncertainties in
  Turbulence Modeling",['A Random Matrix Approach for Quantifying Model-Form Uncertainty in RANS Turbulence']
Audio-Visual Speaker Diarization Based on Spatiotemporal Bayesian Fusion,['Multi-party audio-visual speaker diarization']
"Robust Head-Pose Estimation Based on Partially-Latent Mixture of Linear
  Regressions",['Robust Head-Pose Estimation via Mixture of Partially-Latent Regressions']
A condition number for the tensor rank decomposition,['Absolute condition number for tensor rank decomposition']
"Analysis of a Cahn--Hilliard system with non-zero Dirichlet conditions
  modeling tumor growth with chemotaxis",['On the well-posedness of a Cahn--Hilliard model for tumor growth with Dirichlet boundary conditions']
Pivot duality of universal interpolation and extrapolation spaces,['Duality of the inductive limit of the universal extrapolation spaces']
Categories: How I Learned to Stop Worrying and Love Two Sorts,['Categorization Systems and Belief-Based Categories in Modal Logic']
Unique expansions and intersections of Cantor sets,['Cantor sets associated with the intersection of $alpha$-expansions']
"Modified $f(R)$ Gravity and Thermodynamics of Time-Dependent Wormholes
  at Event Horizon",['Time-dependent wormholes in $f(R)$ gravity']
Mapped tent pitching schemes for hyperbolic systems,['Tent-Meshed Spacetime Domains']
Symmetric Complete Intersections,['Stable complete intersections in polynomial rings']
On the Combinatorial Complexity of Approximating Polytopes,['Approximating polytopes of minimal combinatorial complexity']
Approximate Polytope Membership Queries,['Approximate Polytope Membership']
"Detectability of galactic supernova neutrinos coherently scattered on
  xenon nuclei in XMASS",['Detectability of galactic supernova neutrino-nucleus scattering in XMASS']
"Robust Controllers for Regular Linear Systems with Infinite-Dimensional
  Exosystems",['Error Feedback Output Tracking and Disturbance Rejection for Regular Linear Systems']
"GateKeeper: A New Hardware Architecture for Accelerating Pre-Alignment
  in DNA Short Read Mapping",['GateKeeper: A Fast Pre-Alignment Accelerator for Sequence Alignment']
"Renormalization group flow, Entropy and Eigenvalues",['Eigenvalue Variation in the Polyakov Action through Renormalization Group Flow']
"Variational formulation and efficient implementation for solving the
  tempered fractional problems",['Variational formulation and efficient implementation for the space tempered fractional equation']
Fullerene graphs of small diameter,['On the diameter of fullerene graphs']
Analysis of higher order time delay systems using Lambert W function,['Analysis of time delay systems using Lambert W function approach']
"Data processing for the sandwiched R\'enyi divergence: a condition for
  equality","[""Data processing inequality for the $alpha$-sandwiched R'enyi divergence""]"
"A Semi-Lagrangian two-level preconditioned Newton-Krylov solver for
  constrained diffeomorphic image registration",['An Efficient Semi-Lagrangian Time Stepping Algorithm for Diffeomorphic Image Registration']
"On Capacity and Delay of Multi-channel Wireless Networks with
  Infrastructure Support",['Capacity and Delay of Multi-Channel Wireless Networks with Infrastructure Support']
Effects of variable thermal diffusivity on the structure of convection,['Multiscale Flow Structure in the Solar Convection Zone']
A finite alternation result for reversible boolean circuits,['On the alternation depth of reversible boolean functions']
Chordal networks of polynomial ideals,['Chordal Networks for Polynomial Ideal Decomposition']
A New Method for Constructing Circuit Codes,['A New Method for Constructing Circuit Codes']
Uniform convergence of proliferating particles to the FKPP equation,['Uniform convergence of the empirical process for a system of moderately interacting Brownian particles']
"Cascade and locally dissipative realizations of linear quantum systems
  for pure Gaussian state covariance assignment",['Pure Gaussian realizations of linear quantum systems']
"Privacy-Preserving Human Activity Recognition from Extreme Low
  Resolution",['Inverse Super Resolution for Human Activity Recognition from Extreme Low-Resolution Videos']
Optimal Margin Distribution Machine,['Optimal Margin Distribution Machine']
One Bubble to Rule Them All,['Prediction of Local Observations in a Landscape of False Vacua']
"H\""older regularity for Maxwell's equations under minimal assumptions on
  the coefficients","['Global H""older regularity for anisotropic Maxwell\'s equations']"
Forward and Reverse Entropy Power Inequalities in Convex Geometry,"[""R'enyi Entropy and Convex Geometry""]"
"Construction of de Bruijn Sequences from Product of Two Irreducible
  Polynomials",['Cycle Structure and Adjacency Graph of Linear Feedback Shift Registers']
"$\mathcal{D}$-solutions to the system of vectorial Calculus of
  Variations in $L^\infty$ via the singular value problem",['$mathcalD$-solutions to the Dirichlet problem for nonlinear systems']
"One-dimensional phase retrieval with additional interference
  measurements",['Interference Measurements for One-Dimensional Phase Retrieval']
Mathematical Analysis of Ultrafast Ultrasound Imaging,['Mathematical Analysis of Ultrafast Ultrasound Imaging']
"On the finite convergence of the Douglas-Rachford algorithm for solving
  (not necessarily convex) feasibility problems in Euclidean spaces",['New conditions for finite convergence of the Douglas-Rachford algorithm']
h-Index Manipulation by Undoing Merges,['Manipulating the h-index by undoing merges']
On the Upsilon invariant and satellite knots,['Satellites and the Upsilon invariant']
"Kernel Distribution Embeddings: Universal Kernels, Characteristic
  Kernels and Kernel Metrics on Distributions",['Kernel Mean Embeddings of (Schwartz-) Distributions']
"Casimir effect between pinned particles in two-dimensional jammed
  systems",['Casimir-like forces between pinned particles near the jamming transition']
"Dynamical model reduction method for solving parameter-dependent
  dynamical systems",['A projection-based model order reduction method for parameter-dependent dynamical systems']
Bernstein-gamma functions and exponential functionals of Levy Processes,['Bernstein-gamma functions and exponential functionals of Levy Processes']
A Monte Carlo method for integration of multivariate smooth functions,['Optimal Orders of Convergence for Randomly Shifted Lattice Algorithms']
"Parameter-free prediction of DNA dynamics in planar extensional flow of
  semidilute solutions",['Sequential relaxation of DNA in planar extensional flow: a multi-particle Brownian dynamics approach']
"Multi-scale S-fraction reduced-order models for massive wavefield
  simulations",['Reduced-order multi-scale wavefield simulation: Off-line and on-line']
"Direct observation of DNA dynamics in semi-dilute solutions in
  extensional flow",['Non-equilibrium stretching dynamics of semi-dilute DNA solutions in extensional flow']
"Completely positive and completely positive semidefinite tensor
  relaxations for polynomial optimization",['Relaxation of Completely Positive Tensors for Polynomial Optimization']
"An Experiment and Detection Scheme for Cavity-based Cold Dark Matter
  Searches",['A Resonant Detector for Cavity-based Dark Matter Searches']
Completely positive semidefinite rank,['The rank of completely positive semidefinite matrices']
"A Set-Oriented Numerical Approach for Dynamical Systems with Parameter
  Uncertainty",['Set-Oriented Methods for Uncertainty Quantification in Dynamical Systems']
"Implementation of Interior-point Methods for LP based on Krylov Subspace
  Iterative Solvers with Inner-iteration Preconditioning",['An Interior-Point Method Based on Inner-Iteration Preconditioned Krylov Subspace Methods for Linear Programming']
"Development of Gold Tiny Particles and Particles in Different Sizes at
  Varying Precursor Concentration",['Coalescence of Gold Tiny Particles at Varying Gold Precursor Concentration']
$L^p$ spaces in vector lattices and applications,['Filter convergence for vector lattice-valued functions']
"A Generic Transformation to Enable Optimal Repair in MDS Codes for
  Distributed Storage Systems",['A Generic Transformation for Optimal Repair of Nonbinary MDS Codes']
Cutting Algebraic Curves into Pseudo-segments and Applications,['Cutting Algebraic Curves into Jordan Arcs']
On Polynomial Approximations to ${AC}^0$,['On polynomial approximations to $rm AC0$']
Kinematical uniqueness of homogeneous isotropic LQC,['The Standard Kinematical Hilbert Space of Homogeneous Loop Quantum Cosmology']
Probabilistic Foundations of Contextuality,['Mathematical Impossibility of Contextuality by Default']
Failures of the Integral Hasse Principle for Affine Quadric Surfaces,['The Hasse principle for integral points on affine quadric surfaces']
"Rational points and zero-cycles on rationally connected varieties over
  number fields",['Rational points on rationally connected varieties over number fields']
"Bayesian Genome- and Epigenome-wide Association Studies with Gene Level
  Dependence",['Nonparametric Bayesian association screening']
Relative controllability of linear difference equations,['Relative controllability of linear difference equations with multiple delays in the state']
Probing QED Vacuum with Heavy Ions,['Spontaneous vacuum decay in heavy-ion collisions']
Individual Treatment Effect Prediction for ALS Patients,['Predicting the treatment effect for new patients using a model-based random forest']
Improved Sparse Low-Rank Matrix Estimation,['Convex Non-Convex Matrix Denoising']
Solving the missing GRB neutrino and GRB-SN puzzles,['Why there is no gamma GRB and why there is no gamma GRB']
Counting the number of isosceles triangles in rectangular regular grids,['Recurrence relations for the number of isosceles triangles embedded in a regular grid']
"Freeness of spherical Hecke modules of unramified $U(2,1)$ in
  characteristic $p$",['Freeness of infinite rank representations over spherical Hecke algebras']
"Metrical star discrepancy bounds for lacunary subsequences of digital
  Kronecker-sequences and polynomial tractability",['A metrical discrepancy bound for lacunary subsequences of digital Kronecker sequences']
Monte Carlo Confidence Sets for Identified Sets,['Confidence sets for partially-identified regular models']
"Formal Verification of Obstacle Avoidance and Navigation of Ground
  Robots",['Formal Verification of Provably Safe Robots for Avoiding Stationary and Moving Obstacles']
"Enumerations of vertices among all rooted ordered trees with levels and
  degrees",['Enumeration and Bijections of Four Vertices Among Rooted Ordered Trees']
Effects of human dynamics on epidemic spreading in C\^{o}te d'Ivoire,"[""Multi-scale modeling of epidemic spreading in Cote d'Ivoire""]"
Breaking the Limits -- Redefining the Instantaneous Frequency,['Instantaneous Frequency for Signals Nonlinear and Nonstationary']
Predicting missing values in spatio-temporal satellite data,['Gap-filling satellite data with sparse missing values']
"Constraining the nature of dark matter with the star formation history
  of the faintest Local Group dwarf galaxy satellites",['Constraining $Lambda$-Warm Dark Matter from Star Formation Histories of the Local Group Dwarf Spheroidal Galaxies']
"A metric on the space of finite sets of trajectories for evaluation of
  multi-target tracking algorithms",['A metric on the space of finite sets of trajectories for multi-target tracking algorithms']
"Thermodynamic Properties of Kehagias-Sfetsos Black Hole \& KS/CFT
  Correspondence",['Thermodynamics of Kehagias-Sfetsos black hole in Horava Lifshitz gravity']
Categories with families and first-order logic with dependent sorts,['Categories with Families: Semantics of First-order Logic with Dependent Sorts']
"Optimal control of PDEs in a complex space setting; application to the
  Schr\""odinger equation",['Optimal control problems over complex spaces and applications']
A Tight Bound of Hard Thresholding,['Universal Hard Thresholding']
"Fog-Aided Wireless Networks for Content Delivery: Fundamental Latency
  Trade-Offs",['Fundamental Limits of Normalized Delivery Time in Fog-Aided Wireless Networks']
What can topology tell us about the neural code?,['Topology in Neuroscience']
"Exploring the Dark Universe: constraints on dynamical Dark Energy models
  from CMB, BAO and growth rate measurements",['Constraining dynamical dark energy models with the latest observational data']
The semilinear heat equation on sparse random graphs,['The Continuum Limit of Sparse Random Graphs']
"Convergence Rate for a Radau hp Collocation Method Applied to
  Constrained Optimal Control",['Convergence Rates for $hp$-Measures for Control Problems with Strong Convexity']
"A new second-order midpoint approximation formula for Riemann-Liouville
  derivative: algorithm and its application","['High-order numerical approximate Gr""unwald-Letnikov formula for time-fractional Cable equations with Riemann-Liouville derivative']"
"Merging of positive maps: a construction of various classes of positive
  maps on matrix algebras",['Canonical merging of positive maps']
"Software search is not a science, even among scientists: A survey of how
  scientists and engineers find software",['A Survey of Software Search Preferences among Scientists and Engineers']
A counterexample for a problem on quasi Baer modules,['A note on quasi-Baer modules']
"Variance component score test for time-course gene set analysis of
  longitudinal RNA-seq data",['tcgsaseq: A Model-free and Efficient Method for Detecting Longitudinal Changes in RNA-Seq Gene Sets']
Zero-Error Capacity of $P$-ary Shift Channels and FIFO Queues,['Zero-Error Capacity of Shift Channels']
Local Scale Invariance and Inflation,['Inflation in a Local Scale Invariant Model']
"Nodal sets of Laplace eigenfunctions: estimates of the Hausdorff measure
  in dimension two and three",['Zero sets of Laplacian eigenfunctions on compact manifolds']
"On a Vectorized Version of a Generalized Richardson Extrapolation
  Process",['Convergence acceleration of a vectorized version of the generalized Richardson extrapolation process']
Staggered Quantum Walks with Hamiltonians,['Extension of staggered quantum walks']
Vaisman nilmanifolds,['Vaisman structures on compact nilmanifolds']
"Self-referencing of an on-chip soliton Kerr frequency comb without
  external broadening",['Self-referencing of a Kerr frequency comb using soliton Cherenkov radiation']
"Dynamics of interlacing peakons (and shockpeakons) in the Geng-Xue
  equation",['Dynamics of interlacing peakons and shockpeakons in a cubically nonlinear Camassa-Holm equation']
Transport Analysis of Infinitely Deep Neural Network,['Flow Representation and Transport Analysis of Deep Neural Networks']
"Recent Progress in Shearlet Theory: Systematic Construction of Shearlet
  Dilation Groups, Characterization of Wavefront Sets, and New Embeddings",['On generalized shearlet dilation groups']
Nonequilibrium physics aspects of probabilistic cellular automata,['Nonequilibrium Principles for Probabilistic Cellular Automata']
Effect of Electrical Filtering on Level Dependent ASE Noise,['Analytical Modeling of the Effect of Filtering on Spontaneous Emission Noise During or After Opto-Electronic Conversion']
Multiobjective Optimization in a Quantum Adiabatic Computer,['Quantum Adiabatic Algorithm for Multiobjective Optimization']
"Development Toward a Ground-Based Interferometric Phased Array for Radio
  Detection of High Energy Neutrinos",['Noise correlations in interferometric phased arrays for high energy neutrino detection']
Speed-dependent ice bandings in freezing colloidal suspensions,['Possible mechanism of speed-dependent ice bandings in freezing colloidal suspensions']
Weighted dependency graphs,['Weighted Dependency Graphs']
Approximating matrices and convex bodies through Kadison-Singer,['Approximation of matrices in operator norm and applications to convex bodies']
"On the asymptotic stability of steady flows with nonzero flux in
  two-dimensional exterior domains",['On the asymptotic stability of steady solutions to the Navier-Stokes equations in a two-dimensional exterior domain']
Numerical schemes of the time tempered fractional Feynman-Kac equation,['Finite element schemes for the backward time tempered fractional Feynman-Kac equation']
"Controlling Morphology-Structure of Gold Tiny Particles, Nanoparticles
  and Particles at Different Pulse Rates and Pulse Polarity","['Controlling Morphology and Structure of Tiny Gold Particles, Nanoparticles and Colloids under Different Process Parameters']"
"Lax distributive laws for topology, II",['Lax distributions of fundamental 2-monads on quantaloid categories']
"Parallel preconditioners for high order discretizations arising from
  full system modeling for brain microwave imaging",['Coupling High Order Finite Element Methods with Parallel Preconditioners for Brain Microwave Imaging']
"Boundary modeling in model-based calibration for automotive engines via
  the vertex representation of the convex hulls",['Vertex Representation for Boundary Modeling in MBC Toolbox']
Wavelet Scattering Regression of Quantum Chemical Energies,['Wavelet Scattering Regression for Quantum Chemical Energies of Organic Molecules']
"Colored operads, series on colored operads, and combinatorial generating
  systems",['Colored operads and generating systems of combinatorial languages']
$K_{4}$-Minor-Free Induced Subgraphs of Sparse Connected Graphs,['On the Treewidth of Graphs without $K_4$ Minors']
"Distributions for tau neutrino interactions observed through the decay
  $\tau\rightarrow \mu\nu_\tau\bar\nu_\mu$",['Searching for tau neutrinos in large neutrino telescopes']
Capacities of Quantum Amplifier Channels,['Capacities of Quantum Amplifier Channels']
"Relative dynamical degrees of correspondences over a field of arbitrary
  characteristic",['Relative dynamical degrees for correspondences over irreducible varieties']
Two Roads Diverged: A Semantic Network Analysis of Guanxi on Twitter,['Comparative Study of Guanxi Discourses in Contemporary Chinese Societies']
Quantum State Transfer on Coronas,['Coronae and State Transfer on Graphs']
"Computing the variance of a conditional expectation via non-nested Monte
  Carlo",['Unbiased non-nested Monte Carlo for conditional uncertainty quantification']
"Non-negativity constraints in the one-dimensional discrete-time phase
  retrieval problem",['On the Uniqueness of One-Dimensional Phase Retrieval under Non-Negativity']
Learning activation functions from data using cubic spline interpolation,['Cubic Spline Interpolation for Data-Dependent Activation Function Selection']
Stealing PINs via Mobile Sensors: Actual Risk versus User Perception,['The Real and Perceived Risks of Using Mobile Sensors in Secure PIN Sharing']
"Quantitative convergence analysis of iterated expansive, set-valued
  mappings",['Quantitative Convergence of Expansive Set-Valued Fixed Point Mappings']
Polynomial Carleson operators along monomial curves in the plane,['Partial polynomial Carleson operators along curves']
A Rewriting System for the Assessment of XACML Policies Relationship,['An XACML Based Boolean Algorithm Based Approach to Relationship Analysis']
On the Genericity of Maximum Rank Distance and Gabidulin Codes,['Generic properties of MRD and non-Gabidulin codes']
"BeatBox - HPC Simulation Environment for Biophysically and Anatomically
  Realistic Cardiac Electrophysiology",['BeatBox - A free C software for cardiac electrophysiology in-silico simulation']
"Basis for solutions of the Benoit & Saint-Aubin PDEs with particular
  asymptotic properties",['Quantum group approach to multiple Schramm-Loewner evolutions']
Pseudo-Newtonian planar circular restricted 3-body problem,['Dynamics of the planar circular restricted three-body problem in a pseudo-Newtonian approximation']
"C*-simplicity of free products with amalgamation and radical classes of
  groups",['Simple reduced group C*-algebras of amalgams with trivial kernels']
"Online Influence Maximization under Independent Cascade Model with
  Semi-Bandit Feedback",['Online Influence Maximization under Independent Cascade']
"Full-Pose Tracking Control for Aerial Robotic Systems with
  Laterally-Bounded Input Force",['Lyapunov Control of Laterally Bounded Force Vehicles']
Maps of Mori dream spaces,['Cox lifts of Mori dream spaces']
Active Nearest-Neighbor Learning in Metric Spaces,['Active Nearest-Neighbor Learning for General Metric Spaces']
Fractional Choquard Equation with Critical Nonlinearities,['Variational solutions to nonlinear Choquard equation involving fractional Laplacian']
No value restriction is needed for algebraic effects and handlers,['A Call-by-Value Hindley-Milner Polymorphic Type System for Effects and Handlers']
"Path integrals, SUSY QM and the Atiyah-Singer index theorem for twisted
  Dirac",['Short-time approximations to the propagator in imaginary-time quantum mechanics']
The graded product of real spectral triples,['Graded tensor products in non-commutative geometry']
"A family of non-split topologically slice links with arbitrarily large
  smooth slice genus",['A family of topologically slice 2-component links with no smoothly concordant split link']
The Jacobi Stochastic Volatility Model,['Series representations for option prices with Jacobi volatility']
"Two-letter words and a fundamental homomorphism ruling geometric
  contextuality",['Geometric Contextuality from Words']
Mechanisms of vortices termination in the cardiac muscle,['Multiple pinned vortices in the heart']
"Limitations of Time Resources in Human Relationships Determine Social
  Structures",['The Gradient of Social Grooming Depends on the Social Relationship Strength']
Cell planning for mobility management in heterogeneous cellular networks,['Heterogeneous Two-Tier Poisson Networks for Mobile Users']
Dynamics of Generalised Derivations and Elementary Operators,['Hypercyclic generalised derivations and elementary operators']
Multipliers between model spaces,['Multipliers from a model space to another']
Singular Fr\'egier Conics in Non-Euclidean Geometry,"[""Singular Fr'egier Conics in Euclidean, Elliptic and Hyperbolic Geometry""]"
6D Interpretation of 3D Gravity,['3D gravity as a dimensional reduction of the 6D Hitchin theory']
Primary invariants of Hurwitz Frobenius manifolds,['Hurwitz Frobenius manifolds and topological recursion']
"Demonstration of qubit operations below a rigorous fault tolerance
  threshold with gate set tomography",['High confidence in the diamond norm for quantum error correction of a trapped-Yb$+$-ion qubit']
"Axiomatic Local Metric Derivatives for Low-Level Fractionality with
  Mittag-Leffler Eigenfunctions",['Axiomatic local metric derivative with Mittag-Leffler Eigenfunction']
A Random Bockstein Operator,['Random Bockstein operators in topological data analysis']
"Learning Latent Sub-events in Activity Videos Using Temporal Attention
  Filters",['Learning Differentiable Temporal Attention Filters for Human Activity Recognition']
Multiple target tracking based on sets of trajectories,['Bayesian multiple target tracking with random finite sets']
Isoperimetric equalities for rosettes,['Isoperimetric equalities for rosettes']
"Distributed Sequence Memory of Multidimensional Inputs in Recurrent
  Networks",['Short-Term Memory Capacity of Linear Echo State Networks']
Emergence of Persistent Infection due to Heterogeneity,['Persistent infection under heterogeneous initial conditions']
"Silicon Photonics WDM Transceiver with SOA and Semiconductor Mode-Locked
  Laser",['Silicon Photonics WDM Link for 14 Gbps Data Center']
"Efficient Estimation of Partially Linear Models for Spatial Data over
  Complex Domain",['Estimation of partially linear models using bivariate splines over complex domains']
Optimal Rates for Multi-pass Stochastic Gradient Methods,['Optimal Learning Properties of the Stochastic Gradient Method with Multiple Passes and Mini-Batch']
The exact power law and Pascal pyramid,['Entropy of the distribution of random words']
"Minimax Rate-Optimal Estimation of Divergences between Discrete
  Distributions",['Minimax Rate-Optimal Estimation of $alpha$-Divergences']
"Sparse matrix factorizations for fast linear solvers with application to
  Laplacian systems",['Sparse Matrix Factorization and Nearly-Linear Time']
Highly flexible protein-peptide docking using CABS-dock,['CABS-dock: A Web Server for Flexible Protein-Peptide Docking']
Review of Fall Detection Techniques: A Data Availability Perspective,['A Taxonomy for the Study of Fall Detection']
"A unified approach to mortality modelling using state-space framework:
  characterisation, identification, estimation and forecasting",['Statistical Representations and Estimation Approaches for Mortality Dynamics']
On Quantum Tensor Product Codes,['Quantum Tensor Product Codes']
Optimal Dividend Payout Model with Risk Sensitive Preferences,['Optimal Dividend Payout with Risk Sensitive Parameter']
"The magnitude of a metric space: from category theory to geometric
  measure theory","['Magnitude, from category theory to geometric measure theory']"
"Superradiant instability of $D$-dimensional
  Reissner-Nordstr\""{o}m-anti-de Sitter black hole mirror system","['Superradiant instability of Reissner-Nordstr""om-anti-de Sitter black holes with a reflecting mirror']"
Exponential sum approximations for $t^{-\beta}$,['Approximation by sums of terms in the trapezoidal rule and an alternative integral representation']
Persistence probabilities for stationary increment processes,['Persistence probability for stationary increment processes']
Tropical totally positive matrices,['Tropical totally positive and totally nonnegative matrices']
Scalable and Passive Wireless Network Clock Synchronization,['Scalable Clock Synchronization with Position Uncertainty']
$C_p$ criterion for semiparametric approach in causal inference,['$C_p$ criterion for semiparametric model selection with potential outcome']
"The Challenge of Non-Technical Loss Detection using Artificial
  Intelligence: A Survey",['Detection of Non-Technical Losses: A Survey']
"Time Evolution of the Matter Content of the Expanding Universe in the
  Framework of Brans-Dicke Gravity",['Interacting Brans-Dicke Cosmology']
"Test of the no-signaling principle in the Hensen ""loophole-free CHSH
  experiment""","['Comment on ""No-signaling violation of the no-signaling principle""']"
"A Spiking Network that Learns to Extract Spike Signatures from Speech
  Signals",['Learning to Convert a Speech Signal into a Spike Train Signature']
Absolute real root separation,['Minimal nonzero distance between roots of polynomials']
On the Complexity and Decidability of Some Problems Involving Shuffle,['Complexity and Decidability Results on Shuffle']
"Statistical Pattern Recognition for Driving Styles Based on Bayesian
  Probability and Kernel Density Estimation",['Statistical Pattern Recognition for Driving Styles Based on Kernel Density Estimation']
"Assortment optimisation under a general discrete choice model: A tight
  analysis of revenue-ordered assortments",['Approximation guarantees for revenue-ordered assortments']
"Asymptotic properties of a stochastic Gilpin-Ayala model under regime
  switching",['Stochastic Gilpin-Ayala population model with regime switching and white noise']
"On the Prime Graph Question for Integral Group Rings of 4-primary groups
  II",['The Prime Graph Question for almost simple groups']
Suites r\'ecurrentes lin\'eaires d'ordre 2 \`a divisibilit\'e forte,"[""On a result by Hor'ak and Skula""]"
"Throughput Optimal Decentralized Scheduling of Multi-Hop Networks with
  End-to-End Deadline Constraints: Unreliable Links",['Optimal Distributed Scheduling in Unreliable Multi-Hop Networks']
Large deviation principle for Poisson driven SDEs in epidemic models,['Large deviations for Poisson-type epidemic models']
Deformation of minimal surfaces with planar curvature lines,['Continuous Deformations of Minimal Surfaces with Planar Curvature Lines']
"Convergence in distribution norms in the CLT for non identical
  distributed random variables",['Convergence in distribution norms for non identical distributed random variables']
"Exponential decay of correlations for a real-valued dynamical system
  generated by a k dimensional system","['Decay of correlations for a class of real, bounded-variables processes']"
Quantum simulations with circuit quantum electrodynamics,['Superconducting Circuits as a Quantum Platform for Digital and Analog Quantum Simulations']
