original_titles,generated_titles
"Highly accurate calculation of the real and complex eigenvalues of
  one-dimensional anharmonic oscillators","[""Accurate calculation of resonances using the Riccati-Pad'e method""]"
On the Degrees of Freedom of the Symmetric Multi-Relay MIMO Y Channel,['Achievable Degrees of Freedom of the Symmetric Multi-Relay MIMO Y Channel']
"Ducks in space: from nonlinear absolute instability to noise-sustained
  structures in a pattern-forming system",['Onset of noise-sustained structures in pattern-forming systems with nonlinear advection']
On some conjectures about free and nearly free divisors,['On some conjectures by A. Dimca and G. Sticlaru concerning singularities of plane curves']
Computing the Geometric Intersection Number of Curves,['Computing the geometric intersection number of a curve on a combinatorial surface in three simple algorithms']
"Entropies of weighted sums in cyclic groups and an application to polar
  codes",['Shannon entropies of sums and differences in cyclic groups']
"Asymptotic Distribution and Detection Thresholds for Two-Sample Tests
  Based on Geometric Graphs",['Distribution-free equality tests based on geometric graphs']
Non-Markovian coherent feedback control of quantum dot systems,['Coherent non-Markovian feedback control of single quantum dots']
"General point dipole theory for periodic metasurfaces: magnetoelectric
  scattering lattices coupled to planar photonic structures",['Array scanning study of light emission and absorption in waveguide-lattice systems coupled to plasmonic structures']
Data-adaptive estimation of time-varying spectral densities,['Data-adaptive estimation of time-varying spectral densities']
Pure point diffraction and Poisson summation,['Fourier analysis of unbounded measures on locally compact abelian groups and the diffraction formula']
"Bayesian non-parametric inference for $\Lambda$-coalescents: consistency
  and a parametric method",['Bayesian non-parametric inference for $Lambda$-coalescent processes with recurrent mutation']
Variational Multiscale Nonparametric Regression: Smooth Functions,['Multiscale Nemirovski-Dantzig estimator and its convergence rates']
Bandwidth in the Cloud,['Bandwidth Dynamics of Multiple Cloud Service Providers']
"A Smartphone-Based Acquisition System for Hips Rotation Fluency
  Assessment","[""Hips' Fluency Assessment Using Gyroscopic Sensors""]"
The category of matroids,['The category of matroids and strong maps']
Concentration of information content for convex measures,['Concentration of information for convex measures']
Pruned double Hurwitz numbers,['Pruning double Hurwitz numbers']
Operads of Wiring Diagrams,['Finite Presentations and Algebras over Operads of Wiring Diagrams']
Topological Entropy on Points without Physical-like Behaviour,['Topological entropy for some classes of asymptotically entropy-expansive $C1$ diffeomorphisms']
"On the vertex Folkman numbers $F_v(a_1, ..., a_s; m - 1)$ when
  $\max\{a_1, ..., a_s\} = 6$ or $7$","['On the vertex Folkman numbers $F_v(a_1,..., a_s; m - 1)$ when $maxa_1,..., a_s = 6$']"
Inter-Vehicle Range Estimation from Periodic Broadcasts,['Range Estimation in Multi-Vehicle Networks using Periodic Broadcasts']
"Causal Boxes: Quantum Information-Processing Systems Closed under
  Composition",['Causal Box Model of Information-Processing Systems']
"A remark on boundary estimates on unbounded $Z(q)$ domains in
  $\mathbb{C}^n$",['Uniform strict pseudoconvexity and the Folland-Kohn basic estimate']
Rapid Lyapunov control of finite-dimensional quantum systems,['Rapid Lyapunov Control of Quantum Systems']
Facial Reduction and Partial Polyhedrality,['FRA-Poly: Facial Reduction with Polyhedral Faces']
Deep Learning for Single and Multi-Session i-Vector Speaker Recognition,['Impostor Selection and Universal Model Adaptation for Single and Multi-Session Deep Belief Networks']
Properties of heavy rare-gases adlayers on graphene substrates,['Molecular dynamics investigation of heavy rare-gases adsorbed on graphene']
Connecting Localization and Wall-Crossing via D-Branes,['BPS vacuum expectation values in 4d N=2 super Yang-Mills theory on a circle revisited']
"A Strong Order 1/2 Method for Multidimensional SDEs with Discontinuous
  Drift",['Strong order 1/2 solution of stochastic differential equations with discontinuous drift and possibly degenerate diffusion coefficient']
Milnor Fibre Homology via Deformation,['Betti numbers of Milnor fibres via deformations']
"Testing the anisotropy in the angular distribution of $Fermi$/GBM
  gamma-ray bursts",['Anisotropic Sky Distribution of $Fermi$/GBM Gamma-Ray Bursts']
"The role of money and the financial sector in energy-economy models used
  for assessing climate policy",['The cost of climate policy and the financial system']
Local Well-Posedness for Relaxational Fluid Vesicle Dynamics,['Local well-posedness of a basic model for relaxational fluid vesicle dynamics']
Uncertainty Transformation via Hopf Bifurcation in Fast-Slow Systems,['Hopf bifurcation for fast multiscale ordinary differential equation models with random initial conditions']
"On Computational Complexity Reduction Methods for Kalman Filter
  Extensions",['Tutorial on Reducing the Computational Demand of Different Kalman Filter Extensions']
"Computation of Controllable and Coobservable Sublanguages in
  Decentralized Supervisory Control via Communication",['Computation of Controllable and Coobservable Sublanguages via Communication']
"Coloring graphs without fan vertex-minors and graphs without cycle
  pivot-minors",['Fan graphs have cliques and pivot-minors']
"Experimental analysis of DBD plasma jet properties using different gases
  and two kinds of transfer plate",['Properties of dielectric barrier discharge plasmas generated using different gases']
A variational model for dislocations at semi-coherent interfaces,['A variational model for dislocations at semi-coherent interfaces']
Parameterizing edge modification problems above lower bounds,['Parameterized Complexity of $F$-free Editing']
"Maximizing Influence in Social Networks: A Two-Stage Stochastic
  Programming Approach That Exploits Submodularity",['Stochastic Submodular Optimization Models for Influence Maximization in Social Networks']
"A note on Fr\""oberg's conjecture for forms of equal degrees","['Fr""oberg\'s Conjecture for a Large Number of Cases']"
A Note on Normalizations of Orbit Closures,['On normalizations of orbit closures']
"A Verification Theorem for Threshold-Indexability of Real-State
  Discounted Restless Bandits",['Sufficient Conditions for Indexability of General Restless Bandits']
Global Well-posedness of the NLS System for infinitely many fermions,['Global well-posedness for the mean field fluctuation dynamics of infinitely many fermions near the Fermi sea']
On the Planar Split Thickness of Graphs,['On the Planar Split Thickness']
Optimal Control of Conditional Value-at-Risk in Continuous Time,['Continuous-Time Stochastic Optimal Control of Conditional Value-at-Risk']
"Set-membership improved normalized subband adaptive filter algorithms
  for acoustic echo cancellation",['Set-Membership Improved Normalized Subband Adaptive Filter']
"Polynomial-time solution of prime factorization and NP-hard problems
  with digital memcomputing machines",['Practical Realization of Non-Deterministic Polynomial Problems through Self-Organizing Logic Gates and Circuits']
"Preliminary constraints on the location of the recently hypothesized new
  planet of the Solar System from planetary orbital dynamics",['Telisto/Planet Nine and the Kronian apsidal and draconitic motions']
"Optimality Conditions for Nonlinear Semidefinite Programming via Squared
  Slack Variables",['Second-order optimality conditions for nonlinear semidefinite programming via slack variables']
Curves in $\mathbb{R}^4$ and two-rich points,['A new bound on the number of two-rich points spanned by low degree algebraic curves']
"Neumann Homogenization via Integro-Differential Operators, Part 2:
  singular gradient dependence",['Integro-differential homogenization of singular periodic equations II: the singular case']
A Note on Bipartite Subgraphs and Triangle-independent Sets,['A note on triangle-containing edge sets in graphs']
"Optimization problem for a portfolio with an illiquid asset: Lie group
  analysis",['Lie group analysis of PDEs for portfolio management with an illiquid asset at prescribed liquidation time distribution']
"Scale-free quantitative unique continuation and equidistribution
  estimates for solutions of elliptic differential equations",['Uniform unique continuation and sampling results for solutions of elliptic differential equations']
From Discrepancy to Majority,['Selecting an item with the largest color using oracles']
"Light transport behaviours in quasi-1D disordered waveguides composed of
  random photonic lattices",['Light transport properties in quasi-one-dimensional disordered waveguides']
"Polynomially Solvable Instances of the Shortest and Closest Vector
  Problems with Applications to Compute-and-Forward",['Solving the Shortest and Closest Vector Problems in Compute-and-Forward']
On the paper: Numerical radius preserving linear maps on Banach algebras,['An example of extreme normalized states which are not multiplicative']
"A discrete in continuous mathematical model of cardiac progenitor cells
  formation and growth as spheroid clusters (Cardiospheres)",['Discrete in continuous mathematical modeling of biophsy cardiac progenitor cells growing as clusters (Cardiospheres)']
"A Robust Multigrid Method for Isogeometric Analysis using Boundary
  Correction",['Robust multigrid solvers for isogeometric B-splines with maximum smoothness']
Lobachevsky geometry in TTW and PW systems,['Hidden symmetries in N-dimensional rational Calogero model with oscillator and Coulomb potentials']
"Blind Deconvolution Meets Blind Demixing: Algorithms and Performance
  Bounds",['Blind Deconvolution with Blind Demixing: A Semidefinite Programming Approach']
"Boundedness and decay of scalar waves at the Cauchy horizon of the Kerr
  spacetime","['Boundedness, regularity and decay of linear waves on Kerr spacetimes']"
"Analysis of linear waves near the Cauchy horizon of cosmological black
  holes","['Waves at the Cauchy horizon of Reissner-Nordstr""om-de Sitter and Kerr-de Sitter spacetimes']"
"Falsification of a Time Operator Model based on
  Charge-Conjugation-Parity violation of neutral K-mesons",['Falsification of the Born Rule for Time in the K-Meson Decay']
Royen's proof of the Gaussian correlation inequality,"[""Royen's proof of the Gaussian correlation inequality""]"
"Fast atom diffraction inside a molecular beam epitaxy chamber, a rich
  combination",['Molecular beam epitaxy and grazing incidence fast atom diffraction']
"A finite element method for nematic liquid crystals with variable degree
  of orientation",['Modeling and Simulation of Nematic Liquid Crystals (A Montage)']
A characterization of tightly triangulated 3-manifolds,"['The K""uhnel-Lutz conjecture holds true for 3-manifolds']"
3-D Projected $ L_{1}$ inversion of gravity data,['On Sparse Inversion of Gravity Data']
Fixed points of adjoint functors enriched in a quantaloid,['Fixed points of adjoint functors in quantaloid-enriched categories and representation theorems of concept lattices']
"How can one sample images with sampling rates close to the theoretical
  minimum?",['A sampling theory based method of image sampling and reconstruction']
Computing Robust Controlled Invariant Sets of Linear Systems,['Robust Controlled Invariant Sets via Constraint Violation']
Variational Inference: A Review for Statisticians,['A Review of Variational Inference']
A note on the connection problem of some special Painlev\'e V functions,"[""On the connection formulas of some special solutions of the fifth Painlev'e equation""]"
On node models for high-dimensional road networks,['Node Modeling of Multi-Commodity Traffic Flows']
"On the extension of the sensitive area of an extensive air shower
  surface array",['Identification of Outside Extensive Air Showers']
"An Oracle Inequality for Quasi-Bayesian Non-Negative Matrix
  Factorization",['Oracle Inequalities for Quasi-Bayesian Aggregation Methods']
The Solar Lense-Thirring effect: perspectives for a future measurement,['The Lense-Thirring effect in the MESSENGER spacecraft and the Solar quadrupole mass moment $J_2odot$']
On Some Properties of Calibrated Trifocal Tensors,['Necessary and sufficient conditions on a calibrated trifocal tensor']
Cumulants of Jack symmetric functions and $b$-conjecture,['Proof of a conjecture of Goulden-Jack polynomials using Jack symmetric functions']
Generalized Hamming weights for almost affine codes,['Generalized Hamming Weights for Almost Affine Codes']
"Well-posedness for the Navier-Stokes equations with data in homogeneous
  Sobolev-Lorentz spaces",['Global well-posedness for Navier-Stokes equations with arbitrary initial value in Sobolev-Lorentz spaces']
A Microscopic approach to Souslin-tree constructions. Part I,['A Microscopic Approach to Constructions of Souslin Trees']
"Geometry of Matrix Decompositions Seen Through Optimal Transport and
  Information Geometry",['Riemannian Geometry of Matrix Factorizations and Gradient Flows']
"Certain properties of MUSIC-type imaging functional in inverse
  scattering from an open, sound-hard arc",['On MUSIC-type imaging functional for inverse scattering problem by an open sound-hard arc']
Hopf bands in arborescent Hopf plumbings,['Hopf bands of positive arborescent Seifert surfaces']
"Transmission problems for the Navier-Stokes and
  Darcy-Forchheimer-Brinkman systems in Lipschitz domains on compact Riemannian
  manifolds",['Transmission problems for two complementary Lipschitz domains on a compact Riemannian manifold']
"A study on conserving invariants of the Vlasov equation in
  semi-Lagrangian computer simulations",['Entropy conservation and long time behavior of the semi-Lagrangian discontinuous Galerkin method for the Vlasov-Poisson equation']
Bayesian subset simulation,['Bayesian Subset Simulation']
"Software for calculations of the Higgs boson lineshape in future lepton
  colliders",['Software for Monte Carlo calculation of the Higgs boson lineshape and its beam broadening effect']
Generalized Persistence Diagrams,['Persistence Diagrams of Modules']
Invariance for Rough Differential Equations,['Stochastic differential equations driven by fractional Brownian motion in Lyons rough paths framework']
Rates of convergence for empirical spectral measures: a soft approach,['Rates of convergence and tail inequalities for the empirical spectral measure of random matrices']
"A combinatorial approach to small ball inequalities for sums and
  differences",['Extremal combinatorial inequalities for small ball sums or differences']
"A stochastic Galerkin method for general system of quasilinear
  hyperbolic conservation laws with uncertainty",['Stochastic Galerkin Method for Quasilinear Hyperbolic Systems with Uncertainty']
"On Neumann problems for nonlocal Hamilton-Jacobi equations with
  dominating gradient terms",['Neumann Boundary Value Problems for Nonlocal Hamilton-Jacobi Equations with Gradient Growth']
"Joint Crosstalk-Avoidance and Error-Correction Coding for Parallel Data
  Buses",['Joint Crosstalk-Avoidance and Error-Correction Coding for Reliable Bus Transmission']
"Parameterized and approximation complexity of the detection pair problem
  in graphs",['On the Approximation Complexity of Detection Pairs on Graphs']
"Universal dynamics and controlled switching of dissipative Kerr solitons
  in optical microresonators",['Sequential reduction of dissipative Kerr solitons in optical microresonators']
Condition number analysis and preconditioning of the finite cell method,['The (Isogeometric) Finite Cell Method: Condition Number and Cell Volume Fraction Scaling']
On General Prime Number Theorems with Remainder,['Remarks on the prime number theorem with generalized numbers']
Projective duality and a Chern-Mather involution,['Projective Duality and Chern-Mather Classes of Projective Varieties']
Generalized optimal sub-pattern assignment metric,['Generalized Optimal Sub-pattern Assignment Metric on the Space of Finite Sets']
"On the Prime Graph Question for Integral Group Rings of 4-primary groups
  I",['The Prime Graph Question for almost simple groups']
"Gravitational lensing of charged Ayon-Beato-Garcia black holes and
  non-linear effects of Maxwell fields",['Gravitational lensing by nonlinear electromagnetic fields on Sgr A$*$ black hole']
Distributed Simulation of Continuous Random Variables,"[""Exact and Wyner's common information of log-concave random variables""]"
Quantum integer-valued polynomials,['Quantum integer-valued polynomials']
"On inversion and connection coefficients for basic hypergeometric
  polynomials",['Inversion and Connection Formulae of Some Basic Hypergeometric Polynomials']
"Quotient elastic metrics on the manifold of arc-length parameterized
  plane loops",['Quotient elastic metrics on the manifold of arc-length parameterized curves']
Rayleigh-Ritz majorization error bounds of the mixed type,['Rayleigh Quotients of Hermitian Matrices: Bounds of Eigenvalues via Majorization']
A Complete Uniform Substitution Calculus for Differential Dynamic Logic,['A Relatively Complete Proof Calculus for Differential Dynamic Logic']
GMRES-Accelerated ADMM for Quadratic Objectives,['ADMM Acceleration for Quadratic Quadratic Objectives']
A magneto-viscoelasticity problem with a singular memory kernel,['On the existence of solutions to a 1D magneto-viscoelasticity problem']
"Weak Pseudo-Physical Measures and Pesin's Entropy Formula for Anosov C1
  diffeomorphisms",['Entropy Formula for C1 Anosov diffeomorphisms on a Riemannian manifold']
"Robust Privacy-Utility Tradeoffs under Differential Privacy and Hamming
  Distortion",['A Privacy-Utility Tradeoff for Arbitrary Source Distributions']
Amplifying the randomness of weak sources correlated with devices,['Amplification of weak sources of randomness using a Santha-Vazirani source']
Non-causal computation,['Logically Consistent Non-Causal Circuits']
Meta-analysis of few small studies in orphan diseases,['Frequentist and Bayesian methods in extensive simulation studies and implications for interval estimation in random effects meta-analysis']
"Asymptotic stability of linear fractional systems with constant
  coefficients and small time dependent perturbations",['Stability of Linear Fractional Differential Equations']
Pointwise perturbations of countable Markov maps,['Pointwise perturbations of countable Markov maps']
Ensemble Estimation of Information Divergence,['Nonparametric Density Plug-in Divergence Functional Estimation']
"Analyzing the effect of local rounding error propagation on the maximal
  attainable accuracy of the pipelined Conjugate Gradient method",['Residual Replacement Improves Performance of Pipelined Krylov Subspace Methods for Large and Sparse Linear Systems']
"Adaptive Leader-Following Consensus for a Class of Higher-Order
  Nonlinear Multi-Agent Systems with Directed Switching Networks",['Leader-following consensus for a class of uncertain nonlinear multi-agent systems with directed switching networks']
Group-groupoid actions and liftings of crossed modules,['Liftings of crossed modules']
Sparse exchangeable graphs and their limits via graphon processes,['Sparse exchangeable graphs and the cut metric']
Total flooding time and rumor propagation on graphs,['Flooding time for rumor propagation on distinct sites']
On the Sample Complexity of Learning Graphical Games,['The Sample Complexity of Learning Graphical Games']
Detecting deviating data cells,['Detecting Deviating Data Rows in Multivariate Samples']
Optimal $L_p$-discrepancy bounds for second order digital sequences,['Optimal $L_p$-discrepancy of infinite sequences for all finite $p>1$']
"Optimal micropatterns in 2D transport networks and their relation to
  image inpainting",['Convex variational modelling of transport networks']
Information-theoretic limits of Bayesian network structure learning,['Limits of Bayesian Network Structure Learning from a Finite Number of Samples']
Dynamic Bayesian Predictive Synthesis in Time Series Forecasting,['Model and Forecast Combination in Time Series Forecasting']
"Strong evidence for d-electron spin transport at room temperature at a
  LaAlO3/SrTiO3 interface",['Room-temperature spin transport in a d-electron 2-dimensional electron gas at a LaAlO3/SrTiO3 interface']
"A discrete Liouville identity for numerical reconstruction of
  Schr\""odinger potentials","['Discrete Schr""odinger Potentials for Solving Inverse Problems']"
A note on twisted Dirac operators on closed surfaces,['Eigenvalue estimates for twisted Dirac operators on surfaces']
Feature Selection: A Data Perspective,['A Survey on Feature Selection for Big Data']
"Identity Testing for Constant-Width, and Any-Order, Read-Once Oblivious
  Arithmetic Branching Programs",['Improved Hitting Sets for Read-once Oblivious Arithmetic Branching Programs']
"Expert Opinions and Logarithmic Utility Maximization for Multivariate
  Stock Returns with Gaussian Drift",['Trading Strategies in a Financial Market with Multidimensional Stock Returns and Expert Opinions']
"Optimal exponents for Hardy--Littlewood inequalities for $m$-linear
  operators",['On optimal exponents of Hardy-Littlewood type inequalities']
"Non-polynomial ENO and WENO finite volume methods for hyperbolic
  conservation laws",['Non-polynomial essentially non-oscillatory finite volume methods for solving hyperbolic conservation laws']
Improved Bounds for Uniform Hypergraphs without Property B,['Bounds on the number of hyperedges in a non-2-colorable uniform hypergraph']
Stochastic PDEs with heavy-tailed noise,['The stochastic heat equation with heavy-tailed noise']
"Linear Programming Bounds for Entanglement-Assisted Quantum
  Error-Correcting Codes by Split Weight Enumerators",['Linear programming bounds for quantum codes with entanglement assistance']
"I Know What You Saw Last Minute - Encrypted HTTP Adaptive Video
  Streaming Title Classification",['Encrypted HTTP Adaptive Video Streaming Title Classification']
"On the effects of a common-pool resource on cooperation among firms with
  linear technologies",['The effect of external management of limited resources on the behaviour of firms']
Cluster-Seeking James-Stein Estimators,['Shrinkage Estimation for High-Dimensional Gaussian Noise']
Rotation invariant ultradistributions,['Rotation invariance of ultradistributions']
"Construction of interlaced polynomial lattice rules for infinitely
  differentiable functions",['Fast quasi-Monte Carlo rules for infinitely differentiable functions']
Independent component analysis for tensor-valued data,['Tensor Fourth Order Blind Identification']
"Algorithms and Heuristics for Scalable Betweenness Centrality
  Computation on Multi-GPU Systems",['Reducing the Complexity of Betweenness Centrality Computation on Large-Scale Graphs']
"Using Node Centrality and Optimal Control to Maximize Information
  Diffusion in Social Networks",['Optimal Control of Information Dissemination on Social Networks with Adjacency Matrix']
Comparative Study of Differentially Private Data Synthesis Methods,['Differentially Private Data Synthesis: A Comparative Study']
The model of the black hole enclosed in dust. The flat space case,['Model of black hole enclosed in dust cosmological background']
"Continuity of the Feynman-Kac formula for a generalized parabolic
  equation",['Continuity of the Feynman-Kac Formula for PDEs with Multivalued Gradients']
On Closed Manifolds with Harmonic Weyl Curvature,"['Bochner-Weitzenb""ock-Lichnerowicz formulas for Weyl curvature']"
"Private Information Retrieval from MDS Coded Data in Distributed Storage
  Systems",['Universal Private Information Retrieval Schemes for Distributed Storage Systems']
Scaling behavior of the Compton profile of alkali metals,['Contribution of the valence electrons to the Compton profiles of alkali metals']
Topological Hochschild homology and the Hasse-Weil zeta function,['Tate cohomology and the Hasse-Weil zeta function']
The Spacey Random Walk: a Stochastic Process for Higher-order Data,['The spacey random walk']
"A conformal group approach to the Dirac-K\""ahler system on the lattice","['Dirac-K""ahler type solutions via Cayley transforms']"
"Some Minimax Results on Dense Sets and Dense Families of Functionals in
  C(K) and B(K)",['On minimax results of Fan and Sion for some families of functionals in function spaces']
"A Graph Isomorphism-based Decentralized Algorithm for Modular Robot
  Configuration Formation",['Configuration Formation in Modular Robot Systems: A Utility-Based Allocation Approach']
Number of fixed points and disjoint cycles in monotone Boolean networks,['On the Maximum Number of Fixed Points in a Monotone Boolean Network']
The facial weak order and its lattice quotients,['Faces of the permutahedron and the facial weak order']
The distance function from the boundary of a domain with corners,['Corner boundary distance functions in $mathbbR2$']
Torus equivariant K-stability,['On the K-polystability of torus test configurations']
"Effective Sample Size for Importance Sampling based on discrepancy
  measures",['On the Effective Sample Size approximation']
CLE percolations,['Conformal loop ensembles and continuous percolation']
"Heat flux in the presence of a gravitational field in a simple dilute
  fluid: an approach based in general relativistic kinetic theory to first
  order in the gradients",['Heat flux driven by a gravitational field in a dilute relativistic fluid']
Controlling multistability by discontinuous dissipative coupling,['Dynamics of multistable systems with discontinuous coupling']
Stochastic orders and the frog model,['Monotonicity in the frog model']
Autoregressive Moving Average Graph Filtering,['Autoregressive Moving Average (ARMA) Graph Filters']
The Brownian limit of separable permutations,['Pattern-avoiding random permutations and the Brownian excursion']
A lower bound to the spectral threshold in curved quantum layers,['A lower bound to the spectral threshold of the Dirichlet Laplacian']
"Classifying $\tau$-tilting modules over the Auslander algebra of
  $K[x]/(x^n)$",['Basic support $tau$-tilting modules over Auslander algebras and symmetric groups']
A Central Limit Theorem for Punctuated Equilibrium,['A Central Limit Theorem for Punctuated Equilibrium']
Moving Mesh Discontinuous Galerkin Methods for PDEs with Traveling Waves,['A Moving Mesh Discontinuous Galerkin Method for Nonlinear Partial Differential Equations']
"Porosity Results for Sets of Strict Contractions on Geodesic Metric
  Spaces",['On the space of nonexpansive mappings on a convex or a star-shaped space']
The pure braid groups and their relatives,"['Resonance varieties, lower central series, and Chen ranks of pure braid groups']"
Diffusion of innovation in large scale graphs,['Diffusion of a New Smartphone Application or an Innovation?']
"Differentiated latency in data center networks with erasure coded files
  through traffic engineering",['Joint Weighted Latency Optimization for Differentiated Data Centers with Erasure Coded Storage']
"Experimental quantum processing enhancement in modelling stochastic
  processes",['Experimental quantum advantage in simulating stochastic processes']
"EEG-informed attended speaker extraction from recorded speech mixtures
  with application in neuro-steered hearing prostheses",['EEG-Informed Attendee Speaker Extraction and Denoising from Microphone Arrays']
A two-step approach to account for unobserved spatial heterogeneity,['Identifying structural breaks in space using spatial parametric analysis of house price data']
Modelling Spatial Regimes in Farms Technologies,['Controlling for unobserved spatial heterogeneity in a cross-sectional technology application to olive growing']
"Modular extensions of unitary braided fusion categories and 2+1D
  topological/SPT orders with symmetries",['Modular extensions of 2+1D topological/SPT orders and their abelian groups']
Geometry and categorification,['Geometric categorification']
Generalized Gaussian Mechanism for Differential Privacy,['Differential Privacy via Generalized Gaussian Mechanism']
The geometry of homothetic covering and illumination,"['Discrete Geometry, Computational Geometry and the Illumination Conjecture']"
Lifting non-ordinary cohomology classes for SL(3),"['On rigid analytic cohomology classes for congruence subgroups of SL(3,Z)']"
"On the Multilinear Fractional Integral Operators with Correlation
  Kernels",['Boundedness and endpoint estimates for a class of multilinear fractional integral operators']
"Effect of quantified irreducibility on the computability of subshift
  entropy",['Computing Topological Entropy of Subshifts with Mixing Constraints']
Growth Rates of Sublinear Functional and Volterra Differential Equations,['Growth rates of positive solutions to nonlinear functional and Volterra differential equations']
"Optimal control of infinite dimensional bilinear systems: Application to
  the heat and wave equations",['Second order optimality conditions for bilinear control problems governed by strongly continuous semigroups']
On the curvature estimates for Hessian equations,['Curvature estimates of $k$ curvature equations for general right hand side']
A Geometric Analysis of Phase Retrieval,['Generalized Phase Retrieval with Generic Fourier Magnitudes']
Submodular Learning and Covering with Response-Dependent Costs,['A Greedy Algorithm for Response-Dependent Costs']
"Lens depth function and k-relative neighborhood graph: versatile tools
  for ordinal data analysis","['Ordinal Distance Information Medoid Estimation, Outlier Identification, and Clustering']"
"Improved $L^2$ estimate for gradient schemes, and super-convergence of
  the TPFA finite volume scheme",['An improved $L2$ error estimate for gradient schemes and applications']
Uplink Performance of Wideband Massive MIMO with One-Bit ADCs,['Wideband Massive MIMO with One-Bit ADCs']
"A computational study of high-speed microdroplet impact onto a smooth
  solid surface",['Computational Study of Microdroplet Impact onto a Smooth Surface in Optomec Aerosol Jet Technology']
"Low Complexity Sparse Bayesian Learning Using Combined BP and MF with a
  Stretched Factor Graph",['Low Complexity Sparse Bayesian Learning with Combined Belief Propagation']
Design of Ultra-compact Graphene-based Superscatterers,['Dispersion Engineering for Ultra-Compact Graphene-Based Superscatterers']
"Exact simulation of the jump times of a class of Piecewise Deterministic
  Markov Processes",['Thinning algorithms for Piecewise Deterministic Markov Processes depending on the jump rate bound']
"A Bayesian approach for energy-based estimation of acoustic aberrations
  in high intensity focused ultrasound treatment",['Bayesian Inverse Problem Solving for High Intensity Focused Ultrasound']
"Uniform convergence of V-cycle multigrid algorithms for two-dimensional
  fractional Feynman-Kac equation",['On the uniform convergence of the V-cycle MGM for Toeplitz block tridiagonal matrices']
"Thompson's theorem for compact operators and diagonals of unitary
  operators","[""Thompson's Theorem for compact operators and diagonals of unitary operators""]"
"Galerkin Finite Element Approximations for Stochastic Space-Time
  Fractional Wave Equations",['Galerkin Finite Element Approximations for Stochastic Space-Time Fractional Wave Equation']
Converse bounds for private communication over quantum channels,['Converse Bounds for Private Communication over Quantum Channels']
On commutative nonarchimedean Banach fields,['Norm topology of commutative nonarchimedean Banach rings']
"Transmission dynamics of an SIS model with age structure on
  heterogeneous networks",['Dynamics of SIS epidemics with age dependent infection on heterogeneous networks']
"A canonical rate-independent model of geometrically linear isotropic
  gradient plasticity with isotropic hardening and plastic spin accounting for
  the Burgers vector",['A fully isotropic geometrically linear gradient plasticity model']
Nakamaye's theorem on complex manifolds,"[""Nakamaye's Theorem on complex manifolds""]"
"Exploiting nodes symmetries to control synchronization and consensus
  patterns in multiagent systems",['Inducing Synchronization and Consensus in Distributed Networks']
"Projection based model order reduction methods for the estimation of
  vector-valued variables of interest",['Goal-Oriented Projection based Model Order Reduction for Vector-Valued Variables of Interest']
"On Pl\""ucker Equations Characterizing Grassmann Cones","['Pl""ucker equations of Grassmannians and the KP hierarchy']"
A spatial model for selection and cooperation,['Evolution of cooperation in an interacting particle system with two types']
"Superimposed Pilots are Superior for Mitigating Pilot Contamination in
  Massive MIMO",['Superimposed Pilots as an Alternative to Time-Multiplexed Pilots in Massive MIMO Systems']
"Products of Eisenstein series and Fourier expansions of modular forms at
  cusps",['Fourier expansions of modular forms at cusps']
"The vanishing discount problem and viscosity Mather measures. Part 1:
  the problem on a torus",['A viscosity Mather measure approach to the vanishing discount problem']
"Equilibria in a competitive model arising from linear production
  situations with a common-pool resource",['Nash Equilibria in Competitive Linear Production with Limited Common-Pool Resources']
"Positive and negative effects of social impact on evolutionary
  vaccination game in networks",['The Effect of Social Impact on the Vaccination Behavior in Networks']
Estimating Non-Simplified Vine Copulas Using Penalized Splines,['Non-Simplified Vine Copulas']
Arborified multiple zeta values,['Finite sums of multiple zeta values from tree decorating']
"Minimum-Time Transitions between Thermal Equilibrium States of the
  Quantum Parametric Oscillator",['Minimum-Time Transitions in the Quantum Parametric Oscillator under Geometric Optimal Control']
"The Co-Evolution of Total Density Profiles and Central Dark Matter
  Fractions in Simulated Early-Type Galaxies",['The Co-evolution of the Total Mass Density Profile and Dark Matter Fraction in Early-type Galaxies']
Verified compilation of space-efficient reversible circuits,['Compiling Reversible Circuits']
"Accurate principal component analysis via a few iterations of
  alternating least squares",['Retrofitting Alternating Least Squares to Generate Nearly Optimal Low-Rank Approximations']
Optimal dictionary for least squares representation,['Optimal $ell_2$-dictionaries for rank-$1$ decompositions of symmetric positive semidefinite matrices']
Spectral $\zeta$-invariants lifted to coverings,['Defect formulae and lifted spectral $zeta$-invariants']
A minimum-change version of the Chung-Feller theorem for Dyck paths,['Minimum-change bijections for Dyck paths with $2k$ steps and $e$ flaws']
Scheduling meets n-fold Integer Programming,['Fixed Parameter Tractable Scheduling Problems via n-fold Integer Programming']
"UTA-poly and UTA-splines: additive value functions with polynomial
  marginals",['UTA Disaggregation using Polynomial and Spline Programming']
"Inference and rare event simulation for stopped Markov processes via
  reverse-time sequential Monte Carlo",['Sequential Monte Carlo in reverse time for rare set-size constraints']
Vortex rings and vortex ring solitons in shaken Bose-Einstein condensate,['Vortex rings and vortex ring solitons in shaken Bose-Einstein condensates']
Geometric U-folds in four dimensions,['Geometric U-folds in four-dimensional extended supergravity']
Piecewise Flat Curvature and Ricci Flow in Three Dimensions,['Piecewise Flat Curvature on Triangulations of Manifolds']
